market open at 0 and close at 23,announcement,largest difference 1 hour before,largest difference 1 hour after,ratio
2018-08-06 08:00:00,EUR German Current Account (euros) (JUN),13,64,4.923076923
2018-08-06 08:00:00,EUR German Exports s.a. (MoM) (JUN),13,64,4.923076923
2018-08-06 08:00:00,EUR German Imports s.a. (MoM) (JUN),13,64,4.923076923
2018-08-06 08:00:00,EUR German Industrial Production s.a. (MoM) (JUN),13,64,4.923076923
2018-08-06 08:00:00,EUR German Industrial Production n.s.a. and w.d.a. (YoY) (JUN),13,64,4.923076923
2018-08-06 08:00:00,CHF UBS Real Estate Bubble Index (2Q),13,64,4.923076923
2018-02-19 15:30:00,CAD Wholesale Trade Sales (MoM) (DEC),54,265,4.907407407
2018-11-05 15:30:00,CAD Building Permits (MoM) (SEP),78,381,4.884615385
2018-08-14 15:15:00,USD Industrial Production (MoM) (JUL),64,311,4.859375
2018-08-14 15:15:00,USD Capacity Utilization (JUL),64,311,4.859375
2018-08-14 15:15:00,USD Manufacturing (SIC) Production (JUL),64,311,4.859375
2018-05-01 01:50:00,JPY Monetary Base (YoY) (APR),30,144,4.8
2018-05-01 01:50:00,JPY Monetary Base End of period (APR),30,144,4.8
2018-05-01 02:00:00,USD Treasury's Quarterly Refunding,30,144,4.8
2018-09-04 15:20:00,USD Fed's Bullard Speaks in New York,73,346,4.739726027
2018-11-27 17:30:00,USD DOE U.S. Crude Oil Inventories (NOV 23),113,533,4.716814159
2018-11-27 17:30:00,USD DOE Cushing OK Crude Inventory (NOV 23),113,533,4.716814159
2018-11-27 17:30:00,USD DOE U.S. Gasoline Inventories (NOV 23),113,533,4.716814159
2018-11-27 17:30:00,USD DOE U.S. Distillate Inventory (NOV 23),113,533,4.716814159
2018-06-17 01:50:00,JPY Trade Balance (MAY),29,135,4.655172414
2018-06-17 01:50:00,JPY Adjusted Merchandise Trade Balance (Yen) (MAY),29,135,4.655172414
2018-06-17 01:50:00,JPY Exports (YoY) (MAY),29,135,4.655172414
2018-06-17 01:50:00,JPY Imports (YoY) (MAY),29,135,4.655172414
2018-05-24 03:10:00,JPY BOJ Outright Bond Purchase 3~5 Years,31,143,4.612903226
2018-05-24 03:10:00,JPY BOJ Outright Bond Purchase 5~10 Years,31,143,4.612903226
2018-05-24 03:10:00,JPY BOJ Outright Bond Purchase 1~3 Years,31,143,4.612903226
2018-06-07 09:15:00,EUR ECB's Mersch Speaks in Paris,50,227,4.54
2019-01-16 20:00:00,USD U.S. to Sell USD13 Bln 10-Year TIPS,67,303,4.52238806
2019-01-02 15:30:00,USD Initial Jobless Claims (DEC 29),106,473,4.462264151
2019-01-02 15:30:00,USD Continuing Claims (DEC 22),106,473,4.462264151
2019-01-14 20:00:00,USD Fed’s George Speaks on Economy and Monetary Policy Outlook,52,228,4.384615385
2019-01-14 20:00:00,"USD Fed’s Kaplan Speaks in Plano, Texas",52,228,4.384615385
2018-12-26 15:30:00,USD Initial Jobless Claims (DEC 22),106,461,4.349056604
2018-12-26 15:30:00,USD Continuing Claims (DEC 15),106,461,4.349056604
2018-06-24 07:00:00,JPY Leading Index CI (APR F),21,91,4.333333333
2018-06-24 07:00:00,JPY Coincident Index (APR F),21,91,4.333333333
2018-04-17 15:15:00,"GBP BOE FPC's Brazier, Kohn and Taylor Testify to Lawmakers",43,186,4.325581395
2018-01-22 11:30:00,GBP Public Finances (PSNCR) (Pounds) (DEC),22,95,4.318181818
2018-01-22 11:30:00,GBP Central Government NCR (DEC),22,95,4.318181818
2018-01-22 11:30:00,GBP Public Sector Net Borrowing (DEC),22,95,4.318181818
2018-01-22 11:30:00,GBP PSNB ex Banking Groups (DEC),22,95,4.318181818
2019-02-10 15:30:00,USD Revisions: Consumer Price Index,40,171,4.275
2018-01-08 15:15:00,CAD Housing Starts (DEC),36,153,4.25
2019-01-01 15:30:00,CAD MLI Leading Indicator (MoM) (NOV),109,453,4.155963303
2018-02-25 15:00:00,USD Fed's Bullard Speaks on U.S. Economy and Monetary Policy,34,141,4.147058824
2018-11-04 15:00:00,EUR ECB's Guindos Speaks in Brussels,71,293,4.126760563
2018-11-01 01:50:00,JPY Monetary Base End of period (OCT),33,136,4.121212121
2018-11-01 01:50:00,JPY Monetary Base (YoY) (OCT),33,136,4.121212121
2018-03-12 14:30:00,USD Consumer Price Index (MoM) (Feb),33,136,4.121212121
2018-03-12 14:30:00,USD Consumer Price Index Ex Food and Energy (MoM) (Feb),33,136,4.121212121
2018-03-12 14:30:00,USD Consumer Price Index (YoY) (Feb),33,136,4.121212121
2018-03-12 14:30:00,USD Consumer Price Index Ex Food and Energy (YoY) (Feb),33,136,4.121212121
2018-03-12 14:30:00,USD Consumer Price Index n.s.a. (Feb),33,136,4.121212121
2018-03-12 14:30:00,USD Consumer Price Index Core Index s.a. (Feb),33,136,4.121212121
2018-03-12 14:30:00,USD Real Avg Weekly Earnings (YoY) (Feb),33,136,4.121212121
2018-03-12 14:30:00,USD Real Avg Hourly Earning (YoY) (Feb),33,136,4.121212121
2019-01-02 15:15:00,USD ADP Employment Change (DEC),100,407,4.07
2018-02-05 02:01:00,GBP BRC Sales Like-For-Like (YoY) (JAN),176,714,4.056818182
2018-11-08 15:30:00,USD Producer Price Index Final Demand (MoM) (OCT),68,275,4.044117647
2018-11-08 15:30:00,USD Producer Price Index Final Demand (YoY) (OCT),68,275,4.044117647
2018-11-08 15:30:00,USD Producer Price Index Ex Food and Energy (MoM) (OCT),68,275,4.044117647
2018-11-08 15:30:00,USD Producer Price Index Ex Food and Energy (YoY) (OCT),68,275,4.044117647
2018-11-08 15:30:00,"USD Producer Price Index Ex Food, Energy, Trade (MoM) (OCT)",68,275,4.044117647
